"","gene_type","gene_name"
"174954","protein_coding","TXLNA"
"175349","protein_coding","CCDC28B"
"175510","protein_coding","IQCC"
"175604","protein_coding","DCDC2B"
"175659","protein_coding","TMEM234"
"175816","protein_coding","EIF3I"
"178172","protein_coding","FAM167B"
"178191","protein_coding","LCK"
"178791","protein_coding","HDAC1"
"179273","protein_coding","MARCKSL1"
"179353","protein_coding","TSSK3"
"179377","protein_coding","FAM229A"
"179403","protein_coding","BSDC1"
"180184","protein_coding","ZBTB8B"
"180241","protein_coding","ENSG00000254553"
"180267","protein_coding","ZBTB8A"
"180596","protein_coding","ZBTB8OS"
"180970","protein_coding","RBBP4"
"181269","protein_coding","SYNC"
"181381","protein_coding","NHSL3"
"181495","protein_coding","YARS1"
"182056","protein_coding","S100PBP"
"182680","protein_coding","FNDC5"
"182759","protein_coding","HPCA"
"182870","protein_coding","TMEM54"
"183121","protein_coding","RNF19B"
"183485","protein_coding","AK2"
"183857","protein_coding","AZIN2"
"184413","protein_coding","TRIM62"
"184469","protein_coding","ZNF362"
"184557","protein_coding","A3GALT2"
"184613","protein_coding","PHC2"
"184956","protein_coding","ZSCAN20"
"185326","protein_coding","CSMD2"
"185842","protein_coding","HMGB4"
"186043","protein_coding","C1orf94"
"186144","protein_coding","SMIM12"
"186360","protein_coding","GJB5"
"186388","protein_coding","GJB4"
"186411","protein_coding","GJB3"
"186439","protein_coding","GJA4"
"186505","protein_coding","DLGAP3"
"186563","protein_coding","ENSG00000284773"
"186581","protein_coding","TMEM35B"
"186604","protein_coding","ENSG00000271741"
"186644","protein_coding","ZMYM6"
"187238","protein_coding","ZMYM1"
"187881","protein_coding","SFPQ"
"188016","protein_coding","ZMYM4"
"188364","protein_coding","KIAA0319L"
"191347","protein_coding","NCDN"
"191476","protein_coding","TFAP2E"
"191516","protein_coding","PSMB2"
"191591","protein_coding","C1orf216"
"191645","protein_coding","CLSPN"
"191998","protein_coding","AGO4"
"192125","protein_coding","AGO1"
"192673","protein_coding","AGO3"
"193084","protein_coding","TEKT2"
"193342","protein_coding","ADPRS"
"193462","protein_coding","COL8A2"
"193494","protein_coding","TRAPPC3"
"193668","protein_coding","MAP7D1"
"194507","protein_coding","THRAP3"
"195194","protein_coding","SH3D21"
"195364","protein_coding","EVA1B"
"195411","protein_coding","STK40"
"196353","protein_coding","LSM10"
"196594","protein_coding","OSCP1"
"196800","protein_coding","MRPS15"
"197024","protein_coding","CSF3R"
"197700","protein_coding","GRIK3"
"198023","protein_coding","ZC3H12A"
"198135","protein_coding","MEAF6"
"198292","protein_coding","SNIP1"
"198333","protein_coding","DNALI1"
"198428","protein_coding","GNL2"
"198719","protein_coding","RSPO1"
"198925","protein_coding","AIRIM"
"199411","protein_coding","CDCA8"
"199560","protein_coding","EPHA10"
"199815","protein_coding","MANEAL"
"199903","protein_coding","YRDC"
"199934","protein_coding","C1orf122"
"199969","protein_coding","MTF1"
"200055","protein_coding","INPP5B"
"200582","protein_coding","SF3A3"
"201239","protein_coding","FHL3"
"201548","protein_coding","UTP11"
